lng,lat
-74.00469970703125,40.7521858215332
-73.9823989868164,40.66192626953125
-73.94662475585938,40.71504211425781
-74.01728820800781,40.64182662963867
-73.98690795898438,40.671966552734375
-73.94554901123047,40.75557327270508
-73.98338317871094,40.69406509399414
-73.8835678100586,40.75600814819336
-73.9498519897461,40.68104553222656
-73.92018127441406,40.74319839477539
-73.98689270019531,40.73244857788086
-73.93303680419922,40.70423126220703
-73.96373748779297,40.717838287353516
-73.92704010009766,40.86186218261719
-73.96572875976562,40.713077545166016
-73.91162109375,40.84868621826172
-73.9518814086914,40.7257194519043
-73.97761535644531,40.680511474609375
-73.9856185913086,40.72178268432617
-74.00623321533203,40.62981033325195
-73.91553497314453,40.76424026489258
-73.9964370727539,40.72981643676758
-73.86207580566406,40.75054168701172
-74.00462341308594,40.64375305175781
-73.976806640625,40.78247833251953
-73.89891815185547,40.832149505615234
-73.89881134033203,40.74348831176758
-73.94974517822266,40.67776107788086
-73.9370346069336,40.79806137084961
-73.9461898803711,40.780982971191406
-73.96670532226562,40.711177825927734
-73.9295883178711,40.856590270996094
-73.95819854736328,40.71739959716797
-73.88251495361328,40.747802734375
-73.99633026123047,40.69089126586914
-73.88655090332031,40.75676727294922
-73.93305969238281,40.770751953125
-73.9599838256836,40.711585998535156
-74.02116394042969,40.633506774902344
-73.86386108398438,40.752227783203125
-74.03125,40.6158332824707
-73.98564910888672,40.738243103027344
-73.92010498046875,40.86326599121094
-73.9169692993164,40.8692626953125
-74.00764465332031,40.674625396728516
-73.92029571533203,40.744407653808594
-73.95603942871094,40.71935272216797
-73.9527587890625,40.67689514160156
-73.94792175292969,40.67510223388672
-73.86410522460938,40.74507141113281
-73.87448120117188,40.7364387512207
-73.9524917602539,40.8084716796875
-73.93977355957031,40.827491760253906
-73.9561767578125,40.747161865234375
-73.95835876464844,40.710479736328125
-73.96053314208984,40.76395797729492
-73.95759582519531,40.717933654785156
-73.86398315429688,40.74760818481445
-73.94628143310547,40.6844596862793
-73.99223327636719,40.74672317504883
-73.92033386230469,40.847110748291016
-73.94108581542969,40.818851470947266
-73.95601654052734,40.67606735229492
-73.99470520019531,40.72111129760742
-73.97616577148438,40.75129318237305
-73.85460662841797,40.706756591796875
-73.93760681152344,40.80119323730469
-73.94103240966797,40.679893493652344
-73.95109558105469,40.77752685546875
-73.98188018798828,40.74058532714844
