lng,lat
-73.8908462524414,-73.8908462524414
-73.86502838134766,-73.86502838134766
-74.0135269165039,-74.0135269165039
-73.80242156982422,-73.80242156982422
-73.99128723144531,-73.99128723144531
-74.00566864013672,-74.00566864013672
-73.9471664428711,-73.9471664428711
-73.85096740722656,-73.85096740722656
-73.86622619628906,-73.86622619628906
-73.81764221191406,-73.81764221191406
-73.78339385986328,-73.78339385986328
-73.99162292480469,-73.99162292480469
-73.95831298828125,-73.95831298828125
-73.9405288696289,-73.9405288696289
-73.78278350830078,-73.78278350830078
-73.97930145263672,-73.97930145263672
-73.9747314453125,-73.9747314453125
-73.93701934814453,-73.93701934814453
-73.91378021240234,-73.91378021240234
-73.98159790039062,-73.98159790039062
-73.95795440673828,-73.95795440673828
-73.92359924316406,-73.92359924316406
-73.98644256591797,-73.98644256591797
-73.94248962402344,-73.94248962402344
-73.98282623291016,-73.98282623291016
-73.88919830322266,-73.88919830322266
-73.94425201416016,-73.94425201416016
-73.95472717285156,-73.95472717285156
-73.92301940917969,-73.92301940917969
-73.95646667480469,-73.95646667480469
-74.01132202148438,-74.01132202148438
-74.00169372558594,-74.00169372558594
-73.9530029296875,-73.9530029296875
-73.9848403930664,-73.9848403930664
-73.98084259033203,-73.98084259033203
-73.95783996582031,-73.95783996582031
-73.9559326171875,-73.9559326171875
-73.951171875,-73.951171875
-73.92681121826172,-73.92681121826172
-73.84796905517578,-73.84796905517578
-73.87776947021484,-73.87776947021484
-73.83401489257812,-73.83401489257812
-73.92874908447266,-73.92874908447266
-73.82933807373047,-73.82933807373047
-73.83218383789062,-73.83218383789062
-73.95864868164062,-73.95864868164062
-73.89868927001953,-73.89868927001953
-73.89266967773438,-73.89266967773438
-73.90601348876953,-73.90601348876953
-73.90115356445312,-73.90115356445312
-73.8609390258789,-73.8609390258789
-73.96992492675781,-73.96992492675781
-73.86985778808594,-73.86985778808594
-74.18769073486328,-74.18769073486328
-73.89030456542969,-73.89030456542969
-73.92028045654297,-73.92028045654297
-74.00440216064453,-74.00440216064453
-73.94059753417969,-73.94059753417969
-73.7763900756836,-73.7763900756836
-73.9031982421875,-73.9031982421875
-74.01071166992188,-74.01071166992188
-73.90331268310547,-73.90331268310547
-74.01026916503906,-74.01026916503906
-73.92710876464844,-73.92710876464844
-74.18133544921875,-74.18133544921875
-73.77073669433594,-73.77073669433594
-73.9183578491211,-73.9183578491211
-73.96819305419922,-73.96819305419922
-73.9941635131836,-73.9941635131836
-74.00669860839844,-74.00669860839844
-73.86305236816406,-73.86305236816406
-73.91405487060547,-73.91405487060547
-73.91996765136719,-73.91996765136719
-74.08279418945312,-74.08279418945312
-73.76343536376953,-73.76343536376953
-73.92728424072266,-73.92728424072266
-73.85953521728516,-73.85953521728516
-73.95873260498047,-73.95873260498047
-73.84619140625,-73.84619140625
-73.99580383300781,-73.99580383300781
-73.78996276855469,-73.78996276855469
-73.94075012207031,-73.94075012207031
-73.98111724853516,-73.98111724853516
-73.8653564453125,-73.8653564453125
-73.7762222290039,-73.7762222290039
-74.00646209716797,-74.00646209716797
-73.92115783691406,-73.92115783691406
-73.99359893798828,-73.99359893798828
-73.85687255859375,-73.85687255859375
-73.85688018798828,-73.85688018798828
-73.87663269042969,-73.87663269042969
-73.86125183105469,-73.86125183105469
-73.81324005126953,-73.81324005126953
-73.79534149169922,-73.79534149169922
-74.17791748046875,-74.17791748046875
-73.73218536376953,-73.73218536376953
-73.82721710205078,-73.82721710205078
-74.00987243652344,-74.00987243652344
-73.85186004638672,-73.85186004638672
-73.95158386230469,-73.95158386230469
-73.97022247314453,-73.97022247314453
-73.87837219238281,-73.87837219238281
-74.17721557617188,-74.17721557617188
-73.73040008544922,-73.73040008544922
-73.76283264160156,-73.76283264160156
-73.8196792602539,-73.8196792602539
-73.78880310058594,-73.78880310058594
-73.9740219116211,-73.9740219116211
-74.0836410522461,-74.0836410522461
-74.00747680664062,-74.00747680664062
-73.84599304199219,-73.84599304199219
-73.8909683227539,-73.8909683227539
-73.93743133544922,-73.93743133544922
-73.82428741455078,-73.82428741455078
-74.07022094726562,-74.07022094726562
-73.94073486328125,-73.94073486328125
-73.87200164794922,-73.87200164794922
-73.91815948486328,-73.91815948486328
-73.87264251708984,-73.87264251708984
-74.21305847167969,-74.21305847167969
-74.18135070800781,-74.18135070800781
-73.96035766601562,-73.96035766601562
-74.17771911621094,-74.17771911621094
-73.96251678466797,-73.96251678466797
-73.86021423339844,-73.86021423339844
-73.9729232788086,-73.9729232788086
-73.927734375,-73.927734375
-74.02494812011719,-74.02494812011719
-73.90227508544922,-73.90227508544922
-73.86193084716797,-73.86193084716797
0.0,0.0
-73.84227752685547,-73.84227752685547
-73.90570068359375,-73.90570068359375
-73.96990203857422,-73.96990203857422
-73.86942291259766,-73.86942291259766
-73.90763854980469,-73.90763854980469
-73.79291534423828,-73.79291534423828
-73.86162567138672,-73.86162567138672
-73.96546173095703,-73.96546173095703
-73.85225677490234,-73.85225677490234
-73.8563461303711,-73.8563461303711
-73.87059020996094,-73.87059020996094
-73.78240966796875,-73.78240966796875
-73.88362884521484,-73.88362884521484
-73.9278335571289,-73.9278335571289
-73.85792541503906,-73.85792541503906
-73.93929290771484,-73.93929290771484
-73.8234634399414,-73.8234634399414
-73.94084167480469,-73.94084167480469
-73.78901672363281,-73.78901672363281
-73.75284576416016,-73.75284576416016
-73.90680694580078,-73.90680694580078
-73.86505889892578,-73.86505889892578
-73.86649322509766,-73.86649322509766
-73.84898376464844,-73.84898376464844
-73.78319549560547,-73.78319549560547
-73.8010482788086,-73.8010482788086
-73.78266143798828,-73.78266143798828
-73.8648681640625,-73.8648681640625
-74.18154907226562,-74.18154907226562
-73.87093353271484,-73.87093353271484
-73.87310028076172,-73.87310028076172
-73.8648681640625,-73.8648681640625
-73.95410919189453,-73.95410919189453
-73.82723999023438,-73.82723999023438
-73.87248229980469,-73.87248229980469
-73.83673095703125,-73.83673095703125
-73.86165618896484,-73.86165618896484
-73.94440460205078,-73.94440460205078
-73.77681732177734,-73.77681732177734
-73.9026107788086,-73.9026107788086
-73.96228790283203,-73.96228790283203
-73.81487274169922,-73.81487274169922
-73.81133270263672,-73.81133270263672
